species,long,lat,area,habitat
leucosticta,74.26282014,14.70495352,Belekere,rocky
strigata,74.26282014,14.70495352,Belekere,rocky
undulata,73.94015702,15.11867797,Canaguinim,rocky
undulata,73.94103259,15.12011538,Canaguinim,rocky
bengalensis,73.89402537,15.40643491,Zuari ,mangrove
bengalensis,73.78128248,15.49763647,Mandovi,mangrove
strigata,73.78128248,15.49763647,Mandovi,mangrove
undulata,73.73285738,15.59983157,Vagator,rocky
malaccana,73.73262159,15.60388187,Vagator,rocky
vidua,73.73262159,15.60388187,Vagator,rocky
leucosticta,73.73262159,15.60388187,Vagator,rocky
undulata,73.73280264,15.6049483,Vagator,rocky
undulata,73.73220476,15.60686574,Vagator,rocky
malaccana,73.69986042,15.69250977,Arambol,rocky
undulata,73.69986042,15.69250977,Arambol,rocky
vidua,73.69986042,15.69250977,Arambol,rocky
vidua,73.69832017,15.69291327,Arambol,rocky
malaccana,73.69832017,15.69291327,Arambol,rocky
undulata,73.69832017,15.69291327,Arambol,rocky
strigata,73.69832017,15.69291327,Arambol,rocky
undulata,73.6984417,15.69373378,Arambol,rocky
bengalensis,73.72414087,15.72646276,Tiracol,mangrove
carinifera,73.72414087,15.72646276,Tiracol,mangrove
vidua,73.65530139,15.74259608,Varachiker,rocky
bengalensis,73.68454308,15.75374493,Mhartale,mangrove
bengalensis,73.68381822,15.75375139,Mhartale,mangrove
carinifera,73.68381822,15.75375139,Mhartale,mangrove
bengalensis,73.65952956,15.79444226,Tank,mangrove
bengalensis,73.62515084,15.85899599,Vengurla,mangrove
vidua,73.5909785,15.90370799,Kelus,rocky
undulata,73.5906967,15.90440109,Kelus,rocky
undulata,73.45640796,16.06100941,Dhuriwada,rocky
malaccana,73.45585593,16.06158684,Dhuriwada,rocky
undulata,73.45585593,16.06158684,Dhuriwada,rocky
vidua,73.45555443,16.06174584,Dhuriwada,rocky
vidua,73.45563188,16.06175523,Dhuriwada,rocky
leucosticta,73.45563188,16.06175523,Dhuriwada,rocky
carinifera,73.46897738,16.07389684,Kolamb,mangrove
bengalensis,73.46897738,16.07389684,Kolamb,mangrove
undulata,73.4580576,16.08555045,Sarjekot,rocky
malaccana,73.45821912,16.08559923,Sarjekot,rocky
undulata,73.45760289,16.08602461,Sarjekot,rocky
undulata,73.45735361,16.08617415,Sarjekot,rocky
bengalensis,73.44281369,16.20417232,Achara Bandar,mangrove
bengalensis,73.42192439,16.28491561,Morve,mangrove
undulata,73.39103155,16.33379275,Kunkeshwar,rocky
undulata,73.39136322,16.33383357,Kunkeshwar,rocky
undulata,73.39051698,16.33414236,Kunkeshwar,rocky
bengalensis,73.39408139,16.35553323,Mith Mumbri,mangrove
bengalensis,73.3940223,16.35574185,Mith Mumbri,mangrove
bengalensis,73.39324705,16.35621686,Mith Mumbri,mangrove
bengalensis,73.36245957,16.4423223,Phanase,mangrove
bengalensis,73.36234884,16.4429574,Phanase,mangrove
bengalensis,73.36098251,16.4430092,Phanase,mangrove
undulata,73.34235859,16.47420773,Girye,rocky
undulata,73.34234183,16.47440672,Girye,rocky
undulata,73.34233319,16.47449498,Girye,rocky
vidua,73.34233319,16.47449498,Girye,rocky
undulata,73.3391619,16.47992201,Girye,rocky
