"species","long","lat","area","habitat"
"pallescens",108.708719,0.760135,"Lemukutan Island","mangrove"
"pallescens",119.813394,11.457571,"Linapacan island","mangrove"
"pallescens",145.451134,-14.666165,"Lizard island","mangrove"
"pallescens",120.914707,14.714774,"Lopez Bay","mangrove"
"carinifera",103.965914,1.381624,"Loyang Besar","mangrove"
"pallescens",40.525991,-14.175386,"Lunga Bay to Memba Bay","mangrove"
"pallescens",145.75277,-16.855273,"Machans beach","mangrove"
"pallescens",145.794041,-5.219846,"Madang","mangrove"
"carinifera",113.867734,-7.093758,"Madura island","mangrove"
"pallescens",146.830596,-19.176241,"Magnetic island","mangrove"
"pallescens",134.150655,-6.148509,"Maikoor R","mangrove"
"carinifera",119.446781,-5.100982,"Makassar","mangrove"
"pallescens",128.032532,26.632756,"Makiya","mangrove"
"pallescens",124.833836,1.474382,"Manado","mangrove"
"melanostoma",79.12727,9.286648,"Manali island","mangrove"
"bengalensis",73.831637,15.506359,"Mandovi","mangrove"
"pallescens",144.684716,13.255437,"Mangrove Bay","mangrove"
"pallescens",120.614228,13.945944,"Matabunkay cove","mangrove"
"bengalensis",100.573486,4.863289,"Matang Estuary","mangrove"
"pallescens",122.212887,-8.608915,"Maumere","mangrove"
"carinifera",120.957827,13.517532,"Medio island","mangrove"
"pallescens",106.519852,-5.955856,"Menscheneter Island","mangrove"
"bengalensis",100.37153,5.683879,"Merbok Estuary","mangrove"
"melanostoma",98.409701,12.206259,"Mergui","mangrove"
"melanostoma",125.280717,24.82436,"Miyako Island","mangrove"
"pallescens",57.782574,-20.289812,"Mouth of Camisard R","mangrove"
"pallescens",129.508032,28.397823,"Naze","mangrove"
"bengalensis",74.838466,12.831342,"Netravati","mangrove"
"melanostoma",119.562178,26.659466,"Ningde","mangrove"
"pallescens",48.181878,-13.253218,"Nossi Be","mangrove"
"pallescens",127.654105,-1.335813,"Obi island","mangrove"
"melanostoma",99.965442,8.591426,"Pakpun","mangrove"
"carinifera",119.424229,10.85521,"Pancol","mangrove"
"melanostoma",110.628667,-6.577491,"Pandjang island","mangrove"
"pallescens",121.835748,15.016321,"Panukulan","mangrove"
"strigata",99.720107,6.304591,"Pelangi Beach","mangrove"
"pallescens",103.259565,1.471311,"Pisang island","mangrove"
"carinifera",118.093209,5.781951,"Po Bui island","mangrove"
"bengalensis",92.745151,11.640909,"Port Blair","mangrove"
"pallescens",131.86616,-11.293804,"Port Essington","mangrove"
"pallescens",39.587418,-4.045008,"Port Reitz","mangrove"
"bengalensis",79.766318,11.490814,"Portonovo","mangrove"
"pallescens",124.192935,13.049506,"Prieto Diaz","mangrove"
"pallescens",118.084864,5.889392,"Sandakan","mangrove"
"pallescens",119.788315,5.06637,"Sanga sanga island","mangrove"
"carinifera",110.322508,1.717193,"Santubong","mangrove"
"pallescens",109.687136,18.259179,"Sanya","mangrove"
"melanostoma",103.700467,1.439854,"Sarinbum ","mangrove"
"strigata",120.600987,14.53987,"SE Bataan","mangrove"
"pallescens",103.79192,1.209647,"Sebarok","mangrove"
"carinifera",124.837878,11.820411,"Silanga","mangrove"
"bengalensis",96.381984,2.471076,"Sinabang","mangrove"
"carinifera",100.576831,7.200871,"Songklaa","mangrove"
"pallescens",131.284277,-0.894522,"Sorong","mangrove"
"bengalensis",98.223736,10.877085,"Sullivan Island","mangrove"
"carinifera",100.374059,5.66519,"Sungei Merbok estuary","mangrove"
"pallescens",99.303337,9.225682,"Surat Thani","mangrove"
"pallescens",125.602323,9.707728,"Taganaan","mangrove"
"melanostoma",114.222669,22.245558,"Tai Tam harbour","mangrove"
"pallescens",121.416102,25.164301,"Tan Shui","mangrove"
"carinifera",116.043611,5.912353,"Tandjong Aru","mangrove"
"carinifera",106.738764,-6.101154,"Tandjong Priok","mangrove"
"pallescens",39.1271,-5.058086,"Tanga","mangrove"
"strigata",106.50946,-6.037617,"Tanjung Kait Beach","mangrove"
"carinifera",99.82687,6.456915,"Tanjung Rhu","mangrove"
"pallescens",121.969254,6.310344,"Tapiantana island","mangrove"
"carinifera",127.340196,0.754697,"Ternate island","mangrove"
"melanostoma",114.27103,22.426578,"Three Fathoms Cove","mangrove"
"pallescens",142.216237,-10.574997,"Thursday island","mangrove"
"melanostoma",108.581618,-6.727362,"Tjirebon","mangrove"
"strigata",103.130238,5.35093,"Trengganu","mangrove"
"melanostoma",106.987056,20.937036,"Tuan Chau Island","mangrove"
"bengalensis",78.159334,8.788864,"Tuticorin","mangrove"
"bengalensis",73.621434,15.859001,"Vengurla","mangrove"
"strigata",98.565579,10.000397,"Victoria Point","mangrove"
"strigata",123.044828,10.91822,"Viejo Victorias","mangrove"
"carinifera",95.259857,5.865372,"Weh island","mangrove"
"pallescens",122.941007,-4.07206,"Wowoni island","mangrove"
"melanostoma",121.183468,28.350859,"Ximendao","mangrove"
"pallescens",138.061831,9.475464,"Yap islands","mangrove"
