species,habitat,long,lat,air_temp_dryQ_C,max_air_temp_C,mean_annual_sst_C,pp_mean,sss_saltiest_month_psu,sst_warmest_month_C,tidal_range_minmax_fill_m,topo_bath,topo_bath_slope
omanensis,rocky,69.92758725,21.28745008,27.23333359,36.40000153,26.18333333,0.004623187,36.76,28.05666667,2.774827789,4.491818062,0.508336979
omanensis,rocky,69.60880964,21.6307352,25.01666673,35.59999847,25.88,0.004948528,36.7,28.16,2.852904382,4.320349743,0.364811976
omanensis,rocky,69.09598268,22.09025368,27.26249973,35.67499924,25.34,0.005138398,36.59,27.81,3.125488019,0.367135006,0.572895837
omanensis,rocky,68.95590188,22.2425475,27.30000051,36.40000153,26.34,0.00630589,36.6,28.8,3.46994159,3.071188731,0.460171465
omanensis,rocky,69.07351381,22.47812122,27.39444404,34.53333282,26.21,0.008117875,36.6,28.71,4.000853494,0.664738323,0.311092726
strigata,mixed,83.3873663,17.78061317,24.21666654,34.60000038,27.45,0.01474102,34.01,28.94,1.789645747,8.437051068,1.381575501
strigata,mixed,74.2815355,14.65415256,26.58749986,32.15000057,27.805,0.034618125,35.3525,29.9225,2.301614379,3.411877524,0.329705597
strigata,mixed,74.26282014,14.70495352,26.53888904,31.83333333,27.97,0.032066325,35.378,29.63,2.304479384,2.04307316,0.276080592
strigata,mixed,73.78128248,15.49763647,26.36666679,31.70000076,27.555,0.027607718,35.8875,29.8275,2.403901743,28.89637539,0.512478344
strigata,mixed,73.69832017,15.69291327,26.22916667,32.35000038,27.64,0.025991783,35.96,29.41,2.42581209,5.272072876,1.850120711
strigata,mixed,82.26882622,16.95561103,26.26333351,35.55999985,27.79333333,0.038783313,34.36666667,29.49333333,1.685670349,1.394115097,0.158725418
strigata,mixed,73.3368749,16.63850812,25.95333316,32.15999908,27.18666667,0.00774133,36.2,28.73666667,2.7136332,6.520462297,1.045847291
strigata,mixed,73.31485296,16.80689729,25.80333316,32.32000046,27.71,0.006922,36.23,29.13,2.797908022,1.211264519,1.112453752
strigata,mixed,73.05076366,17.90689853,25.6833334,31.89999962,27.26,0.00734141,36.33,29.16,3.449661804,11.53860931,1.877270752
strigata,mixed,73.01897404,17.99265135,25.66666635,32.20000076,27.384,0.007664175,36.33,29.504,3.481486464,9.035264289,0.749452658
strigata,mixed,72.96794484,18.20565127,25.48333327,32.29999924,27.025,0.00634785,36.32,28.63,3.811031488,8.285618403,2.302029238
strigata,mixed,72.95109177,18.33585156,25.33333333,32.20000076,27.34,0.00524445,36.32,29.42,3.927527731,34.66069753,3.203909432
strigata,mixed,72.93183854,18.54341464,25.41666667,32.90000153,26.914,0.005708173,36.31,29.634,4.293008177,5.04745126,0.40225982
strigata,mixed,72.86448106,18.65467284,25.39444457,33.26666641,27.46,0.006197053,36.31,30.34,4.635425949,1.185127506,0.286573616
strigata,mixed,72.65343346,19.84853111,24.4083333,34.77499962,27.2,0.011282178,36.27,30.42,3.838894612,-1.966151868,0.302167707
strigata,mixed,72.71118779,20.02569269,24.81666692,34.40000153,27.12,0.012062185,36.26,30.22,4.641784376,-2.906431933,0.29703219
strigata,mixed,70.984554,20.708272,23.81111113,34.96666718,26.34,0.0137716,36.6,28.29,2.665818991,-2.291387582,0.699849557
strigata,mixed,69.60884124,21.63059397,25.01666673,35.59999847,25.88,0.004948528,36.7,28.16,2.852904382,4.320349743,0.364811976
strigata,mixed,69.36989305,21.83671712,25.01666641,36,26.318,0.00473565,36.65,28.8,2.932533872,7.645866185,0.296598794
strigata,mixed,69.72363685,22.46938267,24.78333346,33.90000153,26.21,0.013065083,36.56,29.61,4.237090663,-2.741718685,0.171718411
